"STE-Research-Report_Ch5.pdf","Document","HAS_SECTION","V Die nuklearen Energiesysteme der Generation IV","Section","STE-Research-Report_Ch5.pdf","Document","25","V Die nuklearen Energiesysteme der Generation IV","{}","high"
"Claim VHTR Wasserstoffproduktion 600MW","Claim","HAS_VALUE","QuantityValue VHTR thermische Leistung 600MW","QuantityValue","STE-Research-Report_Ch5.pdf","V.2 Ein gasgekühltes Höchsttemperatur-Reaktorsystem (VHTR)","28","Mit einer thermischen Leistung von 600 MW kann eine VHTR Anlage über 2 Mio. Kubikmeter Wasserstoff pro Tag bereitstellen.","{""value"":600,""unit"":""MW"",""type"":""thermal_power""}","high"
"Claim GFR Wirkungsgrad 48%","Claim","SUPPORTED_BY","Tab. 6: Anlagenparameter eines GFR Systems","Table","STE-Research-Report_Ch5.pdf","V.3 Ein gasgekühltes schnelles Reaktorsystem (GFR)","32","Wirkungsgrad (%) 48","{""relevance"":""core""}","high"
"Claim GFR Wirkungsgrad 48%","Claim","ABOUT","Gas-Cooled Fast Reactor System (GFR)","Reactor","STE-Research-Report_Ch5.pdf","V.3 Ein gasgekühltes schnelles Reaktorsystem (GFR)","32","Wirkungsgrad (%) 48","{""normalizedKey"":""Reactor::Gas-Cooled Fast Reactor System (GFR)""}","high"
"Claim GFR Wirkungsgrad 48%","Claim","HAS_VALUE","QuantityValue GFR Wirkungsgrad 48%","QuantityValue","STE-Research-Report_Ch5.pdf","V.3 Ein gasgekühltes schnelles Reaktorsystem (GFR)","32","Wirkungsgrad (%) 48","{""value"":48,""unit"":""%"",""type"":""thermal_efficiency""}","high"
"Claim SFR Wirkungsgrad ~40%","Claim","SUPPORTED_BY","Tab. 7: Anlagenparameter eines SFR-Systems","Table","STE-Research-Report_Ch5.pdf","V.4 Ein natriumgekühltes schnelles Reaktorsystem (SFR)","34","Wirkungsgrad (%) ~40","{""relevance"":""core""}","high"
"Claim SFR Wirkungsgrad ~40%","Claim","ABOUT","Sodium-Cooled Fast Reactor System (SFR)","Reactor","STE-Research-Report_Ch5.pdf","V.4 Ein natriumgekühltes schnelles Reaktorsystem (SFR)","34","Wirkungsgrad (%) ~40","{""normalizedKey"":""Reactor::Sodium-Cooled Fast Reactor System (SFR)""}","high"
"Claim SFR Wirkungsgrad ~40%","Claim","HAS_VALUE","QuantityValue SFR Wirkungsgrad 40%","QuantityValue","STE-Research-Report_Ch5.pdf","V.4 Ein natriumgekühltes schnelles Reaktorsystem (SFR)","34","Wirkungsgrad (%) ~40","{""value"":40,""unit"":""%"",""type"":""thermal_efficiency"",""approx"":true}","high"
"Claim MSR Wirkungsgrad 44-50%","Claim","SUPPORTED_BY","Tab. 9: Anlagenparameter eines MSR-Systems","Table","STE-Research-Report_Ch5.pdf","V.6 Ein Salzschmelze-Reaktorsystem (MSR)","38","Wirkungsgrad (%) 44 - 50","{""relevance"":""core"",""statistic"":""range""}","high"
"Claim MSR Wirkungsgrad 44-50%","Claim","ABOUT","Molten Salt Reactor System (MSR)","Reactor","STE-Research-Report_Ch5.pdf","V.6 Ein Salzschmelze-Reaktorsystem (MSR)","38","Wirkungsgrad (%) 44 - 50","{""normalizedKey"":""Reactor::Molten Salt Reactor System (MSR)""}","high"
"Claim MSR Wirkungsgrad 44-50%","Claim","HAS_VALUE","QuantityValue MSR Wirkungsgrad Range","QuantityValue","STE-Research-Report_Ch5.pdf","V.6 Ein Salzschmelze-Reaktorsystem (MSR)","38","Wirkungsgrad (%) 44 - 50","{""min"":44,""max"":50,""unit"":""%"",""type"":""thermal_efficiency""}","high"
