"VI Risikountersuchungen zu Kernkraftwerken","Section","PART_OF","STE-Research-Report_Ch6","Document","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","39","VI Risikountersuchungen zu Kernkraftwerken","{""normalizedKey"":""Section::VI Risikountersuchungen zu Kernkraftwerken""}","high"
"QV_DRSB_3e-5_per_a","QuantityValue","HAS_UNIT","1/a","Unit","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","3·10-5/a","{""normalizedKey"":""QuantityValue::3e-5_per_a"",""value"":3e-5,""unit"":""1/a"",""type"":""core_melt_frequency""}","high"
"Claim_Notfallmaßnahmen_Reduktion","Claim","REDUCES","Kernschmelzunfall","Event","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","Bezieht man entsprechende Notfallschutzmaßnahmen in das Sicherheitskalkül mit ein, dann reduziert sich die Eintrittshäufigkeit für einen Kernschmelzunfall um eine weitere Größenordnung auf etwa 3·10-6/a","{""normalizedKey"":""Claim::Notfallmaßnahmen_Reduktion"",""relevance"":""core""}","high"
"Claim_Notfallmaßnahmen_Reduktion","Claim","HAS_VALUE","QV_3e-6_per_a","QuantityValue","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","auf etwa 3·10-6/a","{""normalizedKey"":""Claim::Notfallmaßnahmen_Reduktion""}","high"
"QV_3e-6_per_a","QuantityValue","HAS_UNIT","1/a","Unit","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","3·10-6/a","{""normalizedKey"":""QuantityValue::3e-6_per_a"",""value"":3e-6,""unit"":""1/a"",""type"":""core_melt_frequency"",""approx"":true}","high"
"Claim_EPR_Zielwert","Claim","ABOUT","EPR","Reactor","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","Die Zielvorgabe ist, die Eintrittswahrscheinlichkeit für einen Kernschmelzunfall auf einen Wert unter 10-5/a abzusenken.","{""normalizedKey"":""Claim::EPR_Zielwert"",""claimType"":""limit"",""relevance"":""core""}","high"
"Claim_EPR_Zielwert","Claim","HAS_VALUE","QV_EPR_unter_1e-5_per_a","QuantityValue","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","auf einen Wert unter 10-5/a abzusenken","{""normalizedKey"":""Claim::EPR_Zielwert""}","high"
"QV_EPR_unter_1e-5_per_a","QuantityValue","HAS_UNIT","1/a","Unit","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","unter 10-5/a","{""normalizedKey"":""QuantityValue::unter_1e-5_per_a"",""value"":1e-5,""unit"":""1/a"",""type"":""core_melt_frequency"",""statistic"":""max""}","high"
"Claim_Empirisch_1_5e-4","Claim","ABOUT","Kernschmelzunfall","Event","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","der empirische Wert für die Eintrittswahrscheinlichkeit von Kernschmelzunfällen bei den derzeitigen Betriebserfahrungen von rund 13.000 Reaktorbetriebsjahren aufgrund der Reaktorunfälle in TMI-2 und Tschernobyl etwa 1,5·10-4/a beträgt.","{""normalizedKey"":""Claim::Empirisch_1_5e-4"",""relevance"":""core""}","high"
"Claim_Empirisch_1_5e-4","Claim","HAS_VALUE","QV_1_5e-4_per_a","QuantityValue","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","etwa 1,5·10-4/a beträgt","{""normalizedKey"":""Claim::Empirisch_1_5e-4""}","high"
"QV_1_5e-4_per_a","QuantityValue","HAS_UNIT","1/a","Unit","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","1,5·10-4/a","{""normalizedKey"":""QuantityValue::1_5e-4_per_a"",""value"":1.5e-4,""unit"":""1/a"",""type"":""core_melt_frequency"",""approx"":true}","high"
