subject,subjectType,predicate,object,objectType,sourceDoc,sourceSection,sourcePage,sourceQuote,qualifiers,confidence
"Claim: Eindringen eines Neutrons führt zur Kernspaltung von Uran-235","Claim","CAUSES","Kernspaltung","Process","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{}","high"
"Claim: Eindringen eines Neutrons führt zur Kernspaltung von Uran-235","Claim","ABOUT","Kernspaltung","Process","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""normalizedKey"":""Process::Kernspaltung""}","high"
"Claim: Eindringen eines Neutrons führt zur Kernspaltung von Uran-235","Claim","AS_OF","1938","TimePeriod","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""normalizedKey"":""TimePeriod::1938""}","high"
"Kernspaltung","Process","PRODUCES","Krypton (89Kr)","Isotope","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""normalizedKey"":""Process::Kernspaltung""}","high"
"Kernspaltung","Process","PRODUCES","Barium (144Ba)","Isotope","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""normalizedKey"":""Process::Kernspaltung""}","high"
"Claim: Kernspaltung erzeugt Krypton (89Kr) und Barium (144Ba)","Claim","SUPPORTED_BY","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""normalizedKey"":""Claim::STE-Ch1-p7-c2"",""relevance"":""core""}","high"
"Claim: Kernspaltung erzeugt Krypton (89Kr) und Barium (144Ba)","Claim","ABOUT","Kernspaltung","Process","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""normalizedKey"":""Process::Kernspaltung""}","high"
"Claim: Kernspaltung erzeugt Krypton (89Kr) und Barium (144Ba)","Claim","ABOUT","Krypton (89Kr)","Isotope","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""normalizedKey"":""Isotope::Krypton (89Kr)""}","high"
"Claim: Kernspaltung erzeugt Krypton (89Kr) und Barium (144Ba)","Claim","ABOUT","Barium (144Ba)","Isotope","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""normalizedKey"":""Isotope::Barium (144Ba)""}","high"
"Claim: Kernspaltung erzeugt Krypton (89Kr) und Barium (144Ba)","Claim","ASSERTS","Kernspaltung","Process","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""assertedPredicate"":""PRODUCES"",""normalizedKey"":""Process::Kernspaltung""}","high"
"Claim: Kernspaltung setzt drei weitere Neutronen frei","Claim","SUPPORTED_BY","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Gleichzeitig werden dabei drei weitere Neutronen und 210 MeV1 Kernenergie freige￾setzt.","{""normalizedKey"":""Claim::STE-Ch1-p7-c3a"",""relevance"":""core""}","high"
"Claim: Kernspaltung setzt drei weitere Neutronen frei","Claim","ABOUT","Kernspaltung","Process","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Gleichzeitig werden dabei drei weitere Neutronen und 210 MeV1 Kernenergie freige￾setzt.","{""normalizedKey"":""Process::Kernspaltung""}","high"
"Claim: Kernspaltung setzt drei weitere Neutronen frei","Claim","HAS_VALUE","QuantityValue: drei Neutronen","QuantityValue","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Gleichzeitig werden dabei drei weitere Neutronen und 210 MeV1 Kernenergie freige￾setzt.","{""normalizedKey"":""QuantityValue::STE-Ch1-p7-q-neutron-3"",""value"":3,""unit"":""Neutronen"",""type"":""released_neutrons""}","high"
"QuantityValue: drei Neutronen","QuantityValue","HAS_UNIT","Neutronen","Unit","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Gleichzeitig werden dabei drei weitere Neutronen und 210 MeV1 Kernenergie freige￾setzt.","{""normalizedKey"":""Unit::Neutronen""}","high"
"Claim: Kernspaltung setzt 210 MeV Kernenergie frei","Claim","SUPPORTED_BY","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Gleichzeitig werden dabei drei weitere Neutronen und 210 MeV1 Kernenergie freige￾setzt.","{""normalizedKey"":""Claim::STE-Ch1-p7-c3b"",""relevance"":""core""}","high"
"Claim: Kernspaltung setzt 210 MeV Kernenergie frei","Claim","ABOUT","Kernspaltung","Process","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Gleichzeitig werden dabei drei weitere Neutronen und 210 MeV1 Kernenergie freige￾setzt.","{""normalizedKey"":""Process::Kernspaltung""}","high"
"Claim: Kernspaltung setzt 210 MeV Kernenergie frei","Claim","ABOUT","Kernenergie","EnergySource","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Gleichzeitig werden dabei drei weitere Neutronen und 210 MeV1 Kernenergie freige￾setzt.","{""normalizedKey"":""EnergySource::Kernenergie""}","high"
"Claim: Kernspaltung setzt 210 MeV Kernenergie frei","Claim","HAS_VALUE","QuantityValue: 210 MeV","QuantityValue","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Gleichzeitig werden dabei drei weitere Neutronen und 210 MeV1 Kernenergie freige￾setzt.","{""normalizedKey"":""QuantityValue::STE-Ch1-p7-q-energy-210MeV"",""value"":210,""unit"":""MeV"",""type"":""released_nuclear_energy""}","high"
"QuantityValue: 210 MeV","QuantityValue","HAS_UNIT","MeV","Unit","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Gleichzeitig werden dabei drei weitere Neutronen und 210 MeV1 Kernenergie freige￾setzt.","{""normalizedKey"":""Unit::MeV""}","high"
"Claim: Freigesetzte Neutronen lösen weitere Kernspaltungen aus","Claim","SUPPORTED_BY","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Die freigesetzten Neutronen können im Sinn einer Kettenreaktion weitere Kernspaltungen auslösen.","{""normalizedKey"":""Claim::STE-Ch1-p7-c4"",""relevance"":""core""}","high"
"Claim: Freigesetzte Neutronen lösen weitere Kernspaltungen aus","Claim","ABOUT","Neutron (n)","Particle","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Die freigesetzten Neutronen können im Sinn einer Kettenreaktion weitere Kernspaltungen auslösen.","{""normalizedKey"":""Particle::Neutron (n)""}","high"
"Claim: Freigesetzte Neutronen lösen weitere Kernspaltungen aus","Claim","ABOUT","Kettenreaktion","Process","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Die freigesetzten Neutronen können im Sinn einer Kettenreaktion weitere Kernspaltungen auslösen.","{""normalizedKey"":""Process::Kettenreaktion""}","high"
"Claim: Freigesetzte Neutronen lösen weitere Kernspaltungen aus","Claim","ENABLES","Kernspaltungen","Process","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Die freigesetzten Neutronen können im Sinn einer Kettenreaktion weitere Kernspaltungen auslösen.","{}","high"
"Claim: Freigesetzte Neutronen lösen weitere Kernspaltungen aus","Claim","ABOUT","Kernspaltungen","Process","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Die freigesetzten Neutronen können im Sinn einer Kettenreaktion weitere Kernspaltungen auslösen.","{""normalizedKey"":""Process::Kernspaltungen""}","high"
"Claim: 85% der Kernenergie als kinetische Energie","Claim","SUPPORTED_BY","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Von den freigesetzten 210 MeV Kernenergie übernehmen die beiden Spaltprodukte und die Neutronen etwa 85% in Form von kinetischer Energie, weitere 10% treten in Form von radioaktiver Strahlung auf und die restlichen 5% fallen auf die (nahezu masselosen) Neutrinos.","{""normalizedKey"":""Claim::STE-Ch1-p7-c5a"",""relevance"":""core""}","high"
"Claim: 85% der Kernenergie als kinetische Energie","Claim","ABOUT","kinetischer Energie","Concept","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Von den freigesetzten 210 MeV Kernenergie übernehmen die beiden Spaltprodukte und die Neutronen etwa 85% in Form von kinetischer Energie, weitere 10% treten in Form von radioaktiver Strahlung auf und die restlichen 5% fallen auf die (nahezu masselosen) Neutrinos.","{""normalizedKey"":""Concept::kinetischer Energie""}","high"
"Claim: 85% der Kernenergie als kinetische Energie","Claim","HAS_VALUE","QuantityValue: 85%","QuantityValue","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Von den freigesetzten 210 MeV Kernenergie übernehmen die beiden Spaltprodukte und die Neutronen etwa 85% in Form von kinetischer Energie, weitere 10% treten in Form von radioaktiver Strahlung auf und die restlichen 5% fallen auf die (nahezu masselosen) Neutrinos.","{""normalizedKey"":""QuantityValue::STE-Ch1-p7-q-share-85"",""value"":85,""unit"":""%"",""type"":""energy_share_kinetic""}","high"
"QuantityValue: 85%","QuantityValue","HAS_UNIT","%","Unit","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Von den freigesetzten 210 MeV Kernenergie übernehmen die beiden Spaltprodukte und die Neutronen etwa 85% in Form von kinetischer Energie, weitere 10% treten in Form von radioaktiver Strahlung auf und die restlichen 5% fallen auf die (nahezu masselosen) Neutrinos.","{""normalizedKey"":""Unit::%""}","high"
"Claim: 10% der Kernenergie als radioaktive Strahlung","Claim","SUPPORTED_BY","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Von den freigesetzten 210 MeV Kernenergie übernehmen die beiden Spaltprodukte und die Neutronen etwa 85% in Form von kinetischer Energie, weitere 10% treten in Form von radioaktiver Strahlung auf und die restlichen 5% fallen auf die (nahezu masselosen) Neutrinos.","{""normalizedKey"":""Claim::STE-Ch1-p7-c5b"",""relevance"":""core""}","high"
"Claim: 10% der Kernenergie als radioaktive Strahlung","Claim","ABOUT","radioaktive Strahlung","RadiationType","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Von den freigesetzten 210 MeV Kernenergie übernehmen die beiden Spaltprodukte und die Neutronen etwa 85% in Form von kinetischer Energie, weitere 10% treten in Form von radioaktiver Strahlung auf und die restlichen 5% fallen auf die (nahezu masselosen) Neutrinos.","{""normalizedKey"":""RadiationType::radioaktive Strahlung""}","high"
"Claim: 10% der Kernenergie als radioaktive Strahlung","Claim","HAS_VALUE","QuantityValue: 10%","QuantityValue","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Von den freigesetzten 210 MeV Kernenergie übernehmen die beiden Spaltprodukte und die Neutronen etwa 85% in Form von kinetischer Energie, weitere 10% treten in Form von radioaktiver Strahlung auf und die restlichen 5% fallen auf die (nahezu masselosen) Neutrinos.","{""normalizedKey"":""QuantityValue::STE-Ch1-p7-q-share-10"",""value"":10,""unit"":""%"",""type"":""energy_share_radiation""}","high"
"QuantityValue: 10%","QuantityValue","HAS_UNIT","%","Unit","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Von den freigesetzten 210 MeV Kernenergie übernehmen die beiden Spaltprodukte und die Neutronen etwa 85% in Form von kinetischer Energie, weitere 10% treten in Form von radioaktiver Strahlung auf und die restlichen 5% fallen auf die (nahezu masselosen) Neutrinos.","{""normalizedKey"":""Unit::%""}","high"
"Claim: 5% der Kernenergie fallen auf Neutrinos","Claim","SUPPORTED_BY","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Von den freigesetzten 210 MeV Kernenergie übernehmen die beiden Spaltprodukte und die Neutronen etwa 85% in Form von kinetischer Energie, weitere 10% treten in Form von radioaktiver Strahlung auf und die restlichen 5% fallen auf die (nahezu masselosen) Neutrinos.","{""normalizedKey"":""Claim::STE-Ch1-p7-c5c"",""relevance"":""core""}","high"
"Claim: 5% der Kernenergie fallen auf Neutrinos","Claim","ABOUT","Neutrinos","Particle","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Von den freigesetzten 210 MeV Kernenergie übernehmen die beiden Spaltprodukte und die Neutronen etwa 85% in Form von kinetischer Energie, weitere 10% treten in Form von radioaktiver Strahlung auf und die restlichen 5% fallen auf die (nahezu masselosen) Neutrinos.","{""normalizedKey"":""Particle::Neutrinos""}","high"
"Claim: 5% der Kernenergie fallen auf Neutrinos","Claim","HAS_VALUE","QuantityValue: 5%","QuantityValue","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Von den freigesetzten 210 MeV Kernenergie übernehmen die beiden Spaltprodukte und die Neutronen etwa 85% in Form von kinetischer Energie, weitere 10% treten in Form von radioaktiver Strahlung auf und die restlichen 5% fallen auf die (nahezu masselosen) Neutrinos.","{""normalizedKey"":""QuantityValue::STE-Ch1-p7-q-share-5"",""value"":5,""unit"":""%"",""type"":""energy_share_neutrinos""}","high"
"QuantityValue: 5%","QuantityValue","HAS_UNIT","%","Unit","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Von den freigesetzten 210 MeV Kernenergie übernehmen die beiden Spaltprodukte und die Neutronen etwa 85% in Form von kinetischer Energie, weitere 10% treten in Form von radioaktiver Strahlung auf und die restlichen 5% fallen auf die (nahezu masselosen) Neutrinos.","{""normalizedKey"":""Unit::%""}","high"
"Claim: Verwertbarer Anteil beträgt rund 200 MeV","Claim","SUPPORTED_BY","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Da Neutrinos keine Wechselwirkung mit der Materie zeigen, beträgt der verwertbare Anteil der bei der Spaltung eines 235U-Kerns frei werdenden Energie rund 200 MeV (verwertbar, d.h. im technischen Sinn, umwandelbar in nutz￾bare Wärme).","{""normalizedKey"":""Claim::STE-Ch1-p7-c6"",""relevance"":""core""}","high"
"Claim: Verwertbarer Anteil beträgt rund 200 MeV","Claim","ABOUT","Uran-235 (235U)","Isotope","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Da Neutrinos keine Wechselwirkung mit der Materie zeigen, beträgt der verwertbare Anteil der bei der Spaltung eines 235U-Kerns frei werdenden Energie rund 200 MeV (verwertbar, d.h. im technischen Sinn, umwandelbar in nutz￾bare Wärme).","{""normalizedKey"":""Isotope::Uran-235 (235U)"",""alias"":[""235U-Kerns"",""235U""]}","high"
"Claim: Verwertbarer Anteil beträgt rund 200 MeV","Claim","HAS_VALUE","QuantityValue: rund 200 MeV","QuantityValue","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Da Neutrinos keine Wechselwirkung mit der Materie zeigen, beträgt der verwertbare Anteil der bei der Spaltung eines 235U-Kerns frei werdenden Energie rund 200 MeV (verwertbar, d.h. im technischen Sinn, umwandelbar in nutz￾bare Wärme).","{""normalizedKey"":""QuantityValue::STE-Ch1-p7-q-energy-200MeV"",""value"":200,""unit"":""MeV"",""type"":""usable_energy"",""approx"":true}","high"
"QuantityValue: rund 200 MeV","QuantityValue","HAS_UNIT","MeV","Unit","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Da Neutrinos keine Wechselwirkung mit der Materie zeigen, beträgt der verwertbare Anteil der bei der Spaltung eines 235U-Kerns frei werdenden Energie rund 200 MeV (verwertbar, d.h. im technischen Sinn, umwandelbar in nutz￾bare Wärme).","{""normalizedKey"":""Unit::MeV""}","high"
"Claim: 200 MeV entsprechen etwa 3•10-11 Joule (J)","Claim","SUPPORTED_BY","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","In dieser Hinsicht entsprechen 200 MeV in etwa einer Wärmemenge von 3•10-11Joule (J), eine auf den ersten Blick geringe Energieausbeute.","{""normalizedKey"":""Claim::STE-Ch1-p7-c7"",""relevance"":""core"",""claimType"":""derivation""}","high"
"Claim: 200 MeV entsprechen etwa 3•10-11 Joule (J)","Claim","DERIVED_FROM","QuantityValue: rund 200 MeV","QuantityValue","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","In dieser Hinsicht entsprechen 200 MeV in etwa einer Wärmemenge von 3•10-11Joule (J), eine auf den ersten Blick geringe Energieausbeute.","{""normalizedKey"":""QuantityValue::STE-Ch1-p7-q-energy-200MeV""}","high"
"Claim: 200 MeV entsprechen etwa 3•10-11 Joule (J)","Claim","HAS_VALUE","QuantityValue: 3•10-11 Joule (J)","QuantityValue","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","In dieser Hinsicht entsprechen 200 MeV in etwa einer Wärmemenge von 3•10-11Joule (J), eine auf den ersten Blick geringe Energieausbeute.","{""normalizedKey"":""QuantityValue::STE-Ch1-p7-q-heat-3e-11J"",""textValue"":""3•10-11"",""unit"":""Joule (J)"",""type"":""heat_equivalent"",""approx"":true}","high"
"QuantityValue: 3•10-11 Joule (J)","QuantityValue","HAS_UNIT","Joule (J)","Unit","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","In dieser Hinsicht entsprechen 200 MeV in etwa einer Wärmemenge von 3•10-11Joule (J), eine auf den ersten Blick geringe Energieausbeute.","{""normalizedKey"":""Unit::Joule (J)""}","high"
"Claim: Ausbeute erhöht sich um 24 Größenordnungen","Claim","SUPPORTED_BY","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","8","Analogie zu einem fossil beheizten Kraftwerk von einem „Kernbrennstoff“ - dann er￾höht sich die Ausbeute um 24 Größenordnungen auf rund 8•10+13 J oder 22 Millionen Kilowattstunden (kWh).","{""normalizedKey"":""Claim::STE-Ch1-p8-c8a"",""relevance"":""core""}","high"
"Claim: Ausbeute erhöht sich um 24 Größenordnungen","Claim","HAS_VALUE","QuantityValue: 24 Größenordnungen","QuantityValue","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","8","Analogie zu einem fossil beheizten Kraftwerk von einem „Kernbrennstoff“ - dann er￾höht sich die Ausbeute um 24 Größenordnungen auf rund 8•10+13 J oder 22 Millionen Kilowattstunden (kWh).","{""normalizedKey"":""QuantityValue::STE-Ch1-p8-q-orders-24"",""value"":24,""unit"":""Größenordnungen"",""type"":""increase_orders_of_magnitude""}","high"
"QuantityValue: 24 Größenordnungen","QuantityValue","HAS_UNIT","Größenordnungen","Unit","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","8","Analogie zu einem fossil beheizten Kraftwerk von einem „Kernbrennstoff“ - dann er￾höht sich die Ausbeute um 24 Größenordnungen auf rund 8•10+13 J oder 22 Millionen Kilowattstunden (kWh).","{""normalizedKey"":""Unit::Größenordnungen""}","high"
"Claim: Energieausbeute rund 8•10+13 J","Claim","SUPPORTED_BY","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","8","Analogie zu einem fossil beheizten Kraftwerk von einem „Kernbrennstoff“ - dann er￾höht sich die Ausbeute um 24 Größenordnungen auf rund 8•10+13 J oder 22 Millionen Kilowattstunden (kWh).","{""normalizedKey"":""Claim::STE-Ch1-p8-c8b"",""relevance"":""core""}","high"
